user.name	tweet.location	tweet.geoLocation	tweet.retweet	tweet.content	block.numsenti.negative	senti.neutral	senti.positive	senti.compound
mdittemore	Phoenix, AZ	-111.98801944,33.49179167	false	Decorated the whole living room for. Christmas with just one light in all of 10 seconds https://t.co/E1ZaQMw46V	239	0.0	1.0	0.0	0.0
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	This #job might be a great fit for you: RN Case Manager - Emergency Department - Full Time - https://t.co/MjUIw7C9a4	196	0.117	0.586	0.297	0.6124
eddiev_	Phoenix, AZ	-111.98801944,33.49179167	false	adventures. @ Camelback East, Phoenix https://t.co/3Bkr8OHRGF	239	0.0	0.625	0.375	0.34
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Join the St. Luke's Medical Center team! See our latest #job opening here: https://t.co/wtur6JuGIQ #SignOnBonus https://t.co/Sx9L2c0z5x	196	0.0	0.858	0.142	0.3595
NewGrayMare	Phoenix, AZ	-112.07161665,33.58588648	false	Tucked under a warm blankie with his Lamb Chop toy - "and visions of sugarplums danced in his https://t.co/kn7I8vDmDT	334	0.0	0.798	0.202	0.4215
Johnny_Dundulis	Phoenix, AZ	-112.10024963,33.50671829	false	Screen shot of mother earth Beautiful too in #Phoenix , #Arizona #BAMFAM @ Terra Villa Apts https://t.co/fJMkwd2rOX	253	0.0	0.782	0.218	0.5994
SONICjobs	Phoenix, AZ	-112.1679406,33.4655232	false	Interested in a #job in #Phoenix, AZ? This could be a great fit: https://t.co/kGgNaVh4D3 #TeamSonic #SonicJobs https://t.co/FAT3PYUqng	189	0.0	0.563	0.437	0.8519
codyjlang	Phoenix, AZ	-112.0708001,33.4640649	false	Joseph and I at Joshua Tree Feeding Program #2016 #aidsquiltsongbook https://t.co/qeFjiwv1F7	194	0.0	1.0	0.0	0.0
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	If you're looking for work in #Phoenix, AZ, check out this #job: https://t.co/enxBHA3P0B #SignOnBonus #NurseLife https://t.co/WXhVrOlNHX	196	0.0	1.0	0.0	0.0
noelguevara	Phoenix, AZ	-111.9850311,33.4495697	false	Christmas is hard work #henrythecorgi #themostwonderfultimeoftheyear  @ Trillium Residential https://t.co/JLVssoRHMl	179	0.149	0.851	0.0	-0.1027
SONICjobs	Phoenix, AZ	-112.1678195,33.3760855	false	Can you recommend anyone for this #job? Restaurant Team Member (Crew) - https://t.co/LRkjSLtjFS #Hospitality https://t.co/OwF2LQShzK	89	0.0	0.839	0.161	0.3612
CyndiOlivas	Arizona, USA	-112.2435517,33.5977812	false	Just posted a photo @ My Insane Asylum https://t.co/OunBlJGBCP	345	0.31	0.69	0.0	-0.4019
SONICjobs	Phoenix, AZ	-112.1678195,33.3760855	false	See our latest #Phoenix, AZ #job and click to apply: Carhop/Skating Carhop (Server) - https://t.co/gZ7pUeyrQg https://t.co/3pZAgdzhlg	89	0.0	1.0	0.0	0.0
IASISCareers	Phoenix, AZ	-112.0423562,33.4544851	false	Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/OUqqzwCDxI #SignOnBonus #NurseLife #Nursing https://t.co/gAzmBdDPtC	196	0.0	0.848	0.152	0.3612
CyndiOlivas	Arizona, USA	-112.2435517,33.5977812	false	ahhh!! how cool is this!! #thecell #daredevil love him!! @ My Insane https://t.co/968cSQGt3q	345	0.139	0.465	0.396	0.7156
wildrover	Tempe, AZ	-111.9624,33.40637	false	Cant wait to bathe (@ DoubleTree by Hilton Phoenix Tempe in Tempe, AZ) https://t.co/4QihupTNud	140	0.0	1.0	0.0	0.0
TotalTrafficPHX	Phoenix, AZ	-112.1136,33.48063	false	Accident in #Phoenix on Thomas Rd at I - 17 #PHXtraffic https://t.co/hUIi7YWVvM	212	0.237	0.763	0.0	-0.4767
BrandonTownsend	Phoenix, AZ	-112.16382401,33.69673549	false	This guy followed us around all morning. @ The Futures Course at the 500 Club https://t.co/Tb3hGGjkof	449	0.0	1.0	0.0	0.0
Browneyes_2060	Phoenix, AZ	-112.0609996,33.3811169	false	2 decades? Wow! Somebody thinking they got away with murder. #OnTheCase #LindaRobinson	115	0.281	0.506	0.214	-0.2942
unheard_harmony	Phoenix, AZ	-112.07356,33.44791	false	Sunday adventures. . @ Downtown Phoenix, AZ https://t.co/ZiZmK8zPpM	174	0.0	0.714	0.286	0.34
TotalTrafficPHX	Avondale, AZ	-112.2899,33.47893	false	Accident in #Avondale on Thomas Rd west of 107th Ave #PHXtraffic https://t.co/hUIi7Zewnk	202	0.22	0.78	0.0	-0.4767
