yelp_feature.avgstar,yelp_feature.location,yelp_feature.business_count,yelp_feature.reviewcount,yelp_feature.five_star_count,yelp_feature.four_star_count,yelp_feature.three_star_count,yelp_feature.two_star_count,yelp_feature.one_star_count,yelp_feature.senti_neg_avg,yelp_feature.senti_pos_avg,yelp_feature.senti_neu_avg,yelp_feature.senti_comp_avg,yelp_feature.senti_compound_pos_count,yelp_feature.senti_compound_neg_count,yelp_feature.senti_compound_neu_count
3.5,13,1,396,4,5,2,5,2,0.049055555555555554,0.21566666666666667,0.7351666666666667,0.6737388888888889,15,3,NULL
3.550338091660406,15,16,1331,52,21,5,12,31,0.05752066115702479,0.18287603305785127,0.7596694214876032,0.42315537190082636,86,29,6
4.3977272727272725,16,3,44,7,2,NULL,1,NULL,0.0422,0.2698,0.6880000000000001,0.6646700000000001,9,1,NULL
2.925,17,3,80,5,NULL,1,3,4,0.0626923076923077,0.103,0.8345384615384616,0.33005384615384614,9,3,1
3.8411465687658852,18,16,3541,102,12,11,11,49,0.050599999999999985,0.17373513513513508,0.7756486486486485,0.5016897297297297,141,43,1
3.720613578582763,19,43,58607,463,186,99,90,170,0.042862103174603185,0.19781448412698402,0.759342261904762,0.601401785714286,834,164,10
3.691048013790165,20,29,51631,330,158,80,67,115,0.04229999999999997,0.1961786666666668,0.761518666666667,0.6389942666666668,643,102,5
2.5,29,1,42,NULL,1,2,NULL,3,0.10316666666666667,0.17366666666666666,0.723,0.21871666666666667,4,2,NULL
4.085595458888327,38,8,88965,269,88,26,36,36,0.026472527472527468,0.2531934065934065,0.7203538461538467,0.8163138461538453,430,22,3
3.471054674503715,39,39,27051,221,148,74,46,126,0.04938699186991868,0.19168292682926807,0.7589300813008126,0.568079024390244,495,109,11
3.3021031482710317,40,77,271260,786,603,377,331,473,0.04994708171206236,0.19184591439688697,0.7582015564202331,0.5798613229571985,2096,447,27
4.994623655913978,58,2,558,24,NULL,NULL,NULL,1,0.042440000000000005,0.19724,0.7603599999999999,0.5614239999999999,19,4,2
3.842385765500042,59,21,83403,359,209,76,74,82,0.03822124999999996,0.23003375000000031,0.7317512499999999,0.6912041249999997,702,92,6
3.913666128219825,60,15,57573,317,105,31,43,88,0.04037842465753421,0.21587328767123284,0.7437328767123289,0.680856164383561,506,78,NULL
4.5,73,1,3648,48,4,1,1,3,0.02866666666666667,0.23033333333333336,0.7410526315789476,0.8840210526315793,55,2,NULL
4.5,74,2,34259,117,73,14,7,3,0.033303738317756994,0.2039345794392523,0.7627663551401864,0.8033514018691584,204,8,2
3.7395715896279595,75,2,1774,12,26,7,3,5,0.048528301886792455,0.1725660377358491,0.7788867924528299,0.6325415094339626,46,7,NULL
3.9981367595619672,79,12,349928,330,282,109,50,48,0.040991452991452994,0.2159670329670331,0.7430329670329683,0.6997031746031757,725,82,12
